Postcode,Service,Vendor,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
SK,Next Day,Joda,60,106.0,154.0,205.0,225.0,251.0,250,273.0,295.0,341.0,352.0,363.0,397.0,409.0,420.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0
,,McDowells,55.0,110.0,165.0,201.0,217.0,239.0,256.0,291.0,311.0,322.0,340.0,343.0,348.0,353.0,356.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0
,Economy,Joda,52,96.0,140.0,184.0,205.0,242.0,250,273.0,295.0,341.0,352.0,363.0,397.0,409.0,420.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
WN,Next Day,Joda,60,107.0,154.0,204.0,227.0,258.0,252,273.0,295.0,341.0,352.0,363.0,397.0,409.0,420.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0
,,McDowells,55.0,110.0,165.0,201.0,217.0,239.0,256.0,291.0,311.0,322.0,340.0,343.0,348.0,353.0,356.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0
,Economy,Joda,52,92.0,136.0,177.0,196.0,236.0,252,273.0,295.0,341.0,352.0,363.0,397.0,409.0,420.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
B,Next Day,Joda,57,114.0,165.0,171.0,229.0,268.0,300,342.0,385.0,428.0,471.0,513.0,521.0,521.0,521.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,420.0,426.0,431.0,436.0,441.0,446.0,452.0,457.0,467.0,476.0,476.0,476.0,476.0,476.0,476.0
,Economy,Joda,51,101.0,149.0,195.0,209.0,251.0,300,342.0,385.0,428.0,471.0,513.0,521.0,521.0,521.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
CW,Next Day,Joda,60,116.0,169.0,222.0,228.0,270.0,311,355.0,400.0,402.0,402.0,402.0,402.0,402.0,402.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0
,,McDowells,58.0,116.0,174.0,221.0,253.0,284.0,306.0,354.0,381.0,406.0,415.0,420.0,426.0,431.0,436.0,441.0,446.0,452.0,457.0,467.0,476.0,476.0,476.0,476.0,476.0,476.0
,Economy,Joda,52,101.0,151.0,197.0,211.0,246.0,311,355.0,400.0,402.0,402.0,402.0,402.0,402.0,402.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
DE,Next Day,Joda,60,114.0,169.0,221.0,236.0,275.0,318,355.0,400.0,444.0,463.0,463.0,463.0,463.0,463.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0
,,McDowells,57.0,114.0,171.0,208.0,230.0,269.0,283.0,319.0,332.0,368.0,379.0,389.0,400.0,410.0,426.0,436.0,441.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0,446.0
,Economy,Joda,52,102.0,150.0,198.0,210.0,252.0,318,355.0,400.0,444.0,463.0,463.0,463.0,463.0,463.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0,536.0
,,McDowells,50.0,100.0,150.0,188.0,215.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0
DN 1-14,Next Day,Joda,60,115.0,170.0,223.0,230.0,271.0,284,318.0,341.0,375.0,386.0,397.0,409.0,420.0,431.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0
,,McDowells,55.0,110.0,165.0,201.0,217.0,239.0,256.0,291.0,311.0,322.0,340.0,343.0,348.0,353.0,356.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0
